Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.64      0.57      0.61        40
     class2       0.29      0.35      0.32        31
     class3       0.35      0.35      0.35        40
     class4       0.38      0.40      0.39        15
     class5       0.36      0.33      0.34        30
     class6       0.57      0.70      0.63        47
     class7       0.22      0.20      0.21        25
     class8       0.50      0.58      0.54        24
     class9       0.37      0.25      0.30        28
    class10       0.32      0.24      0.27        38
    class11       0.38      0.45      0.41        33
    class12       0.19      0.20      0.20        25
    class13       0.20      0.15      0.17        13
    class14       0.21      0.26      0.23        27
    class15       0.62      0.69      0.65        26
    class16       0.52      0.50      0.51        34
    class17       0.61      0.69      0.65        48
    class18       0.12      0.13      0.13        38
    class19       0.23      0.25      0.24        48
    class20       0.22      0.18      0.20        22
    class21       0.31      0.34      0.33        47
    class22       0.17      0.16      0.17        43
    class23       0.49      0.41      0.44        44
    class24       0.16      0.12      0.14        48
    class25       0.34      0.31      0.33        35
    class26       0.29      0.33      0.31        15
    class27       0.45      0.38      0.41        34
    class28       0.47      0.49      0.48        35
    class29       0.24      0.28      0.26        18

avg / total       0.36      0.37      0.36       951
Cross_val1, PCA_comp:300MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.49      0.62      0.55        40
     class2       0.48      0.35      0.41        31
     class3       0.32      0.35      0.33        40
     class4       0.41      0.47      0.44        15
     class5       0.35      0.40      0.38        30
     class6       0.62      0.68      0.65        47
     class7       0.12      0.12      0.12        25
     class8       0.50      0.62      0.56        24
     class9       0.22      0.14      0.17        28
    class10       0.34      0.37      0.35        38
    class11       0.37      0.39      0.38        33
    class12       0.15      0.16      0.16        25
    class13       0.17      0.15      0.16        13
    class14       0.19      0.19      0.19        27
    class15       0.81      0.81      0.81        26
    class16       0.46      0.50      0.48        34
    class17       0.65      0.65      0.65        48
    class18       0.12      0.16      0.14        38
    class19       0.26      0.27      0.27        48
    class20       0.07      0.05      0.06        22
    class21       0.27      0.26      0.26        47
    class22       0.12      0.14      0.13        43
    class23       0.41      0.27      0.33        44
    class24       0.14      0.12      0.13        48
    class25       0.34      0.31      0.33        35
    class26       0.41      0.47      0.44        15
    class27       0.50      0.35      0.41        34
    class28       0.49      0.51      0.50        35
    class29       0.22      0.22      0.22        18

avg / total       0.35      0.36      0.35       951
Cross_val1, PCA_comp:400MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.46      0.57      0.51        40
     class2       0.36      0.32      0.34        31
     class3       0.35      0.30      0.32        40
     class4       0.31      0.27      0.29        15
     class5       0.33      0.40      0.36        30
     class6       0.50      0.68      0.58        47
     class7       0.27      0.16      0.20        25
     class8       0.52      0.67      0.58        24
     class9       0.27      0.14      0.19        28
    class10       0.38      0.34      0.36        38
    class11       0.32      0.39      0.35        33
    class12       0.12      0.12      0.12        25
    class13       0.21      0.31      0.25        13
    class14       0.21      0.22      0.21        27
    class15       0.63      0.73      0.68        26
    class16       0.47      0.56      0.51        34
    class17       0.59      0.62      0.61        48
    class18       0.19      0.29      0.23        38
    class19       0.18      0.17      0.17        48
    class20       0.07      0.05      0.05        22
    class21       0.35      0.36      0.35        47
    class22       0.20      0.19      0.19        43
    class23       0.31      0.18      0.23        44
    class24       0.14      0.10      0.12        48
    class25       0.41      0.26      0.32        35
    class26       0.33      0.33      0.33        15
    class27       0.48      0.41      0.44        34
    class28       0.44      0.57      0.50        35
    class29       0.13      0.11      0.12        18

avg / total       0.34      0.35      0.34       951
Cross_val2, PCA_comp:200MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.46      0.42      0.44        40
     class2       0.29      0.32      0.31        31
     class3       0.35      0.40      0.37        40
     class4       0.13      0.13      0.13        15
     class5       0.37      0.33      0.35        30
     class6       0.57      0.60      0.58        47
     class7       0.18      0.16      0.17        25
     class8       0.44      0.75      0.55        24
     class9       0.20      0.18      0.19        28
    class10       0.45      0.45      0.45        38
    class11       0.30      0.24      0.27        33
    class12       0.24      0.24      0.24        25
    class13       0.33      0.31      0.32        13
    class14       0.12      0.11      0.12        27
    class15       0.67      0.77      0.71        26
    class16       0.35      0.32      0.34        34
    class17       0.60      0.71      0.65        48
    class18       0.21      0.18      0.19        38
    class19       0.29      0.29      0.29        48
    class20       0.10      0.09      0.09        22
    class21       0.47      0.40      0.44        47
    class22       0.14      0.14      0.14        43
    class23       0.47      0.48      0.47        44
    class24       0.20      0.19      0.20        48
    class25       0.36      0.37      0.37        35
    class26       0.31      0.27      0.29        15
    class27       0.14      0.12      0.13        34
    class28       0.48      0.57      0.52        35
    class29       0.25      0.22      0.24        18

avg / total       0.34      0.35      0.35       951
Cross_val2, PCA_comp:300MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.62      0.53      0.57        40
     class2       0.33      0.45      0.38        31
     class3       0.32      0.30      0.31        40
     class4       0.29      0.27      0.28        15
     class5       0.42      0.37      0.39        30
     class6       0.60      0.68      0.64        47
     class7       0.12      0.08      0.10        25
     class8       0.49      0.75      0.59        24
     class9       0.25      0.25      0.25        28
    class10       0.35      0.32      0.33        38
    class11       0.30      0.24      0.27        33
    class12       0.10      0.08      0.09        25
    class13       0.45      0.38      0.42        13
    class14       0.25      0.19      0.21        27
    class15       0.63      0.73      0.68        26
    class16       0.25      0.24      0.24        34
    class17       0.56      0.69      0.62        48
    class18       0.15      0.16      0.15        38
    class19       0.24      0.23      0.23        48
    class20       0.07      0.05      0.05        22
    class21       0.32      0.36      0.34        47
    class22       0.10      0.09      0.10        43
    class23       0.46      0.52      0.49        44
    class24       0.33      0.38      0.35        48
    class25       0.33      0.34      0.34        35
    class26       0.27      0.20      0.23        15
    class27       0.24      0.24      0.24        34
    class28       0.51      0.54      0.53        35
    class29       0.20      0.17      0.18        18

avg / total       0.34      0.36      0.35       951
Cross_val2, PCA_comp:400MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.59      0.57      0.58        40
     class2       0.42      0.42      0.42        31
     class3       0.43      0.30      0.35        40
     class4       0.24      0.27      0.25        15
     class5       0.28      0.37      0.32        30
     class6       0.58      0.74      0.65        47
     class7       0.07      0.08      0.08        25
     class8       0.47      0.71      0.57        24
     class9       0.32      0.25      0.28        28
    class10       0.40      0.42      0.41        38
    class11       0.24      0.21      0.23        33
    class12       0.05      0.04      0.04        25
    class13       0.55      0.46      0.50        13
    class14       0.10      0.11      0.11        27
    class15       0.69      0.85      0.76        26
    class16       0.28      0.24      0.25        34
    class17       0.62      0.75      0.68        48
    class18       0.22      0.18      0.20        38
    class19       0.24      0.29      0.26        48
    class20       0.18      0.14      0.15        22
    class21       0.30      0.30      0.30        47
    class22       0.11      0.09      0.10        43
    class23       0.46      0.36      0.41        44
    class24       0.27      0.27      0.27        48
    class25       0.31      0.31      0.31        35
    class26       0.25      0.13      0.17        15
    class27       0.19      0.21      0.20        34
    class28       0.52      0.49      0.50        35
    class29       0.31      0.22      0.26        18

avg / total       0.34      0.35      0.34       951
Cross_val3, PCA_comp:200MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.62      0.72      0.67        40
     class2       0.27      0.29      0.28        31
     class3       0.51      0.45      0.48        40
     class4       0.44      0.27      0.33        15
     class5       0.27      0.23      0.25        30
     class6       0.61      0.81      0.70        47
     class7       0.00      0.00      0.00        25
     class8       0.47      0.62      0.54        24
     class9       0.22      0.21      0.22        28
    class10       0.44      0.47      0.46        38
    class11       0.33      0.39      0.36        33
    class12       0.13      0.12      0.12        25
    class13       0.36      0.38      0.37        13
    class14       0.30      0.30      0.30        27
    class15       0.72      0.81      0.76        26
    class16       0.48      0.35      0.41        34
    class17       0.57      0.52      0.54        48
    class18       0.25      0.21      0.23        38
    class19       0.16      0.19      0.17        48
    class20       0.15      0.09      0.11        22
    class21       0.35      0.38      0.36        47
    class22       0.17      0.19      0.18        43
    class23       0.52      0.39      0.44        44
    class24       0.31      0.33      0.32        48
    class25       0.33      0.26      0.29        35
    class26       0.23      0.20      0.21        15
    class27       0.32      0.32      0.32        34
    class28       0.40      0.51      0.45        35
    class29       0.44      0.39      0.41        18

avg / total       0.37      0.38      0.37       951
Cross_val3, PCA_comp:300MLP layers: 900,300,300             precision    recall  f1-score   support

     class1       0.57      0.72      0.64        40
     class2       0.26      0.29      0.28        31
     class3       0.52      0.40      0.45        40
     class4       0.50      0.33      0.40        15
     class5       0.22      0.23      0.23        30
     class6       0.64      0.74      0.69        47
     class7       0.00      0.00      0.00        25
     class8       0.47      0.62      0.54        24
     class9       0.21      0.21      0.21        28
    class10       0.37      0.50      0.43        38
    class11       0.23      0.21      0.22        33
    class12       0.13      0.16      0.14        25
    class13       0.46      0.46      0.46        13
