
Cross-Validation 1             precision    recall  f1-score   support

        0.0       0.47      0.53      0.50        60
        1.0       0.24      0.13      0.17        47
        2.0       0.33      0.29      0.31        59
        3.0       0.40      0.17      0.24        23
        4.0       0.29      0.09      0.13        46
        5.0       0.45      0.76      0.57        71
        6.0       0.08      0.03      0.04        38
        7.0       0.45      0.56      0.50        36
        8.0       0.14      0.05      0.07        42
        9.0       0.26      0.30      0.28        57
       10.0       0.20      0.16      0.18        50
       11.0       0.33      0.05      0.09        38
       12.0       0.83      0.25      0.38        20
       13.0       0.21      0.12      0.15        41
       14.0       0.67      0.77      0.71        39
       15.0       0.45      0.38      0.41        50
       16.0       0.46      0.71      0.55        72
       17.0       0.14      0.18      0.15        57
       18.0       0.18      0.34      0.23        71
       19.0       0.17      0.06      0.09        33
       20.0       0.26      0.39      0.31        70
       21.0       0.16      0.22      0.18        64
       22.0       0.44      0.42      0.43        65
       23.0       0.17      0.22      0.19        72
       24.0       0.25      0.19      0.22        52
       25.0       0.25      0.04      0.07        23
       26.0       0.35      0.33      0.34        51
       27.0       0.51      0.55      0.53        53
       28.0       0.50      0.19      0.28        26

avg / total       0.32      0.32      0.30      1426




Cross-Validation 2             precision    recall  f1-score   support

        0.0       0.48      0.60      0.53        60
        1.0       0.23      0.19      0.21        47
        2.0       0.46      0.36      0.40        59
        3.0       0.40      0.09      0.14        23
        4.0       0.37      0.22      0.27        46
        5.0       0.47      0.87      0.61        71
        6.0       0.19      0.11      0.14        38
        7.0       0.69      0.67      0.68        36
        8.0       0.22      0.12      0.15        42
        9.0       0.31      0.32      0.31        57
       10.0       0.24      0.16      0.19        50
       11.0       0.07      0.03      0.04        38
       12.0       0.25      0.05      0.08        20
       13.0       0.22      0.12      0.16        41
       14.0       0.76      0.67      0.71        39
       15.0       0.33      0.24      0.28        50
       16.0       0.52      0.71      0.60        72
       17.0       0.23      0.25      0.24        57
       18.0       0.13      0.21      0.16        71
       19.0       0.08      0.03      0.04        33
       20.0       0.27      0.47      0.35        70
       21.0       0.16      0.22      0.19        64
       22.0       0.45      0.40      0.42        65
       23.0       0.17      0.22      0.19        72
       24.0       0.27      0.31      0.29        52
       25.0       0.33      0.09      0.14        23
       26.0       0.30      0.27      0.29        51
       27.0       0.51      0.42      0.46        53
       28.0       0.55      0.23      0.32        26

avg / total       0.33      0.33      0.32      1426




Cross-Validation 3             precision    recall  f1-score   support

        0.0       0.45      0.55      0.50        60
        1.0       0.17      0.15      0.16        47
        2.0       0.37      0.27      0.31        59
        3.0       0.43      0.13      0.20        23
        4.0       0.35      0.20      0.25        46
        5.0       0.51      0.82      0.63        71
        6.0       0.36      0.13      0.19        38
        7.0       0.43      0.44      0.44        36
        8.0       0.00      0.00      0.00        42
        9.0       0.41      0.51      0.46        57
       10.0       0.30      0.24      0.27        50
       11.0       0.17      0.03      0.05        38
       12.0       0.14      0.05      0.07        20
