
Cross-Validation 1             precision    recall  f1-score   support

        0.0       0.49      0.55      0.52        60
        1.0       0.21      0.13      0.16        47
        2.0       0.34      0.27      0.30        59
        3.0       0.33      0.13      0.19        23
        4.0       0.23      0.11      0.15        46
        5.0       0.51      0.79      0.62        71
        6.0       0.19      0.08      0.11        38
        7.0       0.43      0.42      0.42        36
        8.0       0.10      0.05      0.06        42
        9.0       0.26      0.30      0.28        57
       10.0       0.17      0.16      0.17        50
       11.0       0.22      0.05      0.09        38
       12.0       0.75      0.15      0.25        20
       13.0       0.20      0.12      0.15        41
       14.0       0.67      0.77      0.71        39
       15.0       0.33      0.28      0.30        50
       16.0       0.44      0.68      0.54        72
       17.0       0.13      0.16      0.15        57
       18.0       0.17      0.32      0.22        71
       19.0       0.21      0.09      0.13        33
       20.0       0.25      0.39      0.30        70
       21.0       0.12      0.17      0.14        64
       22.0       0.44      0.37      0.40        65
       23.0       0.15      0.21      0.18        72
       24.0       0.18      0.13      0.15        52
       25.0       0.25      0.04      0.07        23
       26.0       0.32      0.29      0.31        51
       27.0       0.52      0.55      0.53        53
       28.0       0.33      0.12      0.17        26

avg / total       0.30      0.30      0.29      1426




Cross-Validation 2             precision    recall  f1-score   support

        0.0       0.48      0.58      0.53        60
        1.0       0.17      0.13      0.15        47
        2.0       0.37      0.31      0.33        59
        3.0       0.22      0.09      0.12        23
        4.0       0.23      0.15      0.18        46
        5.0       0.47      0.76      0.58        71
        6.0       0.12      0.08      0.10        38
        7.0       0.71      0.61      0.66        36
        8.0       0.15      0.12      0.13        42
        9.0       0.34      0.32      0.33        57
       10.0       0.28      0.24      0.26        50
       11.0       0.11      0.05      0.07        38
       12.0       0.00      0.00      0.00        20
       13.0       0.22      0.12      0.16        41
       14.0       0.76      0.64      0.69        39
       15.0       0.23      0.18      0.20        50
       16.0       0.49      0.68      0.57        72
       17.0       0.21      0.25      0.22        57
       18.0       0.14      0.23      0.17        71
       19.0       0.19      0.09      0.12        33
       20.0       0.27      0.47      0.35        70
       21.0       0.16      0.19      0.17        64
       22.0       0.43      0.37      0.40        65
       23.0       0.16      0.24      0.19        72
       24.0       0.18      0.19      0.19        52
       25.0       0.29      0.09      0.13        23
       26.0       0.16      0.14      0.15        51
       27.0       0.55      0.40      0.46        53
       28.0       0.70      0.27      0.39        26

avg / total       0.30      0.31      0.30      1426




Cross-Validation 3             precision    recall  f1-score   support

        0.0       0.43      0.52      0.47        60
        1.0       0.18      0.15      0.16        47
        2.0       0.31      0.22      0.26        59
        3.0       0.38      0.22      0.28        23
        4.0       0.29      0.20      0.23        46
        5.0       0.56      0.77      0.65        71
        6.0       0.15      0.11      0.12        38
        7.0       0.36      0.33      0.35        36
        8.0       0.00      0.00      0.00        42
        9.0       0.41      0.46      0.43        57
       10.0       0.18      0.18      0.18        50
       11.0       0.15      0.05      0.08        38
       12.0       0.10      0.05      0.07        20
       13.0       0.28      0.20      0.23        41
       14.0       0.78      0.64      0.70        39
       15.0       0.32      0.22      0.26        50
       16.0       0.49      0.64      0.55        72
       17.0       0.14      0.14      0.14        57
       18.0       0.18      0.31      0.23        71
       19.0       0.13      0.09      0.11        33
       20.0       0.23      0.39      0.29        70
       21.0       0.08      0.11      0.09        64
       22.0       0.38      0.25      0.30        65
       23.0       0.21      0.33      0.26        72
       24.0       0.29      0.29      0.29        52
       25.0       0.45      0.22      0.29        23
       26.0       0.24      0.16      0.19        51
       27.0       0.45      0.49      0.47        53
       28.0       0.12      0.04      0.06        26

avg / total       0.29      0.30      0.29      1426




Cross-Validation 4             precision    recall  f1-score   support

        0.0       0.56      0.53      0.55        60
        1.0       0.24      0.19      0.21        47
        2.0       0.31      0.27      0.29        59
        3.0       0.29      0.09      0.13        23
        4.0       0.15      0.13      0.14        46
        5.0       0.50      0.75      0.60        71
        6.0       0.06      0.03      0.04        38
        7.0       0.44      0.42      0.43        36
