
Cross-Validation 1             precision    recall  f1-score   support

        0.0       0.48      0.50      0.49        60
        1.0       0.36      0.32      0.34        47
        2.0       0.30      0.10      0.15        59
        3.0       0.33      0.04      0.08        23
        4.0       0.67      0.13      0.22        46
        5.0       0.38      0.85      0.53        71
        6.0       1.00      0.05      0.10        38
        7.0       0.45      0.64      0.53        36
        8.0       0.33      0.02      0.04        42
        9.0       0.17      0.40      0.24        57
       10.0       0.36      0.24      0.29        50
       11.0       1.00      0.03      0.05        38
       12.0       1.00      0.05      0.10        20
       13.0       0.36      0.12      0.18        41
       14.0       0.52      0.82      0.63        39
       15.0       0.34      0.30      0.32        50
       16.0       0.35      0.62      0.45        72
       17.0       0.20      0.21      0.21        57
       18.0       0.17      0.31      0.22        71
       19.0       0.00      0.00      0.00        33
       20.0       0.23      0.30      0.26        70
       21.0       0.18      0.27      0.21        64
       22.0       0.38      0.51      0.43        65
       23.0       0.26      0.19      0.22        72
       24.0       0.33      0.12      0.17        52
       25.0       0.62      0.22      0.32        23
       26.0       0.29      0.43      0.35        51
       27.0       0.52      0.43      0.47        53
       28.0       0.00      0.00      0.00        26

avg / total       0.37      0.32      0.28      1426




Cross-Validation 2             precision    recall  f1-score   support

        0.0       0.54      0.47      0.50        60
        1.0       0.34      0.36      0.35        47
        2.0       0.42      0.17      0.24        59
        3.0       1.00      0.04      0.08        23
        4.0       0.64      0.20      0.30        46
        5.0       0.34      0.85      0.49        71
        6.0       0.00      0.00      0.00        38
        7.0       0.74      0.78      0.76        36
        8.0       0.33      0.07      0.12        42
        9.0       0.27      0.51      0.36        57
       10.0       0.35      0.14      0.20        50
       11.0       1.00      0.03      0.05        38
       12.0       1.00      0.05      0.10        20
       13.0       0.39      0.17      0.24        41
       14.0       0.52      0.85      0.65        39
       15.0       0.34      0.32      0.33        50
       16.0       0.42      0.74      0.53        72
       17.0       0.26      0.33      0.29        57
       18.0       0.17      0.30      0.22        71
       19.0       0.00      0.00      0.00        33
       20.0       0.27      0.37      0.32        70
       21.0       0.18      0.31      0.22        64
       22.0       0.46      0.57      0.51        65
       23.0       0.33      0.22      0.26        72
       24.0       0.41      0.27      0.33        52
       25.0       0.83      0.22      0.34        23
       26.0       0.38      0.41      0.39        51
       27.0       0.39      0.38      0.38        53
       28.0       0.00      0.00      0.00        26

avg / total       0.39      0.35      0.32      1426




Cross-Validation 3             precision    recall  f1-score   support

        0.0       0.60      0.60      0.60        60
        1.0       0.24      0.21      0.23        47
        2.0       0.32      0.14      0.19        59
        3.0       0.50      0.04      0.08        23
        4.0       0.75      0.20      0.31        46
        5.0       0.37      0.85      0.51        71
        6.0       0.00      0.00      0.00        38
        7.0       0.35      0.50      0.41        36
        8.0       0.25      0.02      0.04        42
        9.0       0.23      0.44      0.30        57
       10.0       0.27      0.14      0.18        50
       11.0       0.00      0.00      0.00        38
       12.0       0.00      0.00      0.00        20
       13.0       0.38      0.20      0.26        41
       14.0       0.40      0.72      0.51        39
       15.0       0.38      0.28      0.32        50
       16.0       0.34      0.61      0.43        72
       17.0       0.18      0.21      0.20        57
       18.0       0.20      0.31      0.24        71
       19.0       0.43      0.09      0.15        33
       20.0       0.29      0.49      0.36        70
       21.0       0.07      0.12      0.09        64
       22.0       0.44      0.46      0.45        65
       23.0       0.38      0.28      0.32        72
       24.0       0.40      0.23      0.29        52
       25.0       0.75      0.26      0.39        23
       26.0       0.40      0.33      0.36        51
       27.0       0.42      0.49      0.45        53
       28.0       0.00      0.00      0.00        26

avg / total       0.32      0.32      0.29      1426




Cross-Validation 4             precision    recall  f1-score   support

        0.0       0.69      0.52      0.59        60
        1.0       0.18      0.19      0.19        47
        2.0       0.33      0.14      0.19        59
        3.0       1.00      0.04      0.08        23
        4.0       0.58      0.15      0.24        46
        5.0       0.36      0.85      0.50        71
        6.0       0.00      0.00      0.00        38
        7.0       0.37      0.53      0.44        36
        8.0       0.00      0.00      0.00        42
        9.0       0.24      0.46      0.31        57
       10.0       0.37      0.22      0.27        50
       11.0       0.00      0.00      0.00        38
       12.0       0.00      0.00      0.00        20
       13.0       0.25      0.12      0.16        41
       14.0       0.54      0.87      0.67        39
       15.0       0.30      0.26      0.28        50
       16.0       0.40      0.71      0.52        72
       17.0       0.25      0.26      0.26        57
       18.0       0.19      0.39      0.26        71
       19.0       0.33      0.03      0.06        33
       20.0       0.26      0.29      0.27        70
       21.0       0.17      0.28      0.21        64
       22.0       0.46      0.62      0.53        65
       23.0       0.31      0.22      0.26        72
       24.0       0.32      0.17      0.23        52
       25.0       0.80      0.35      0.48        23
       26.0       0.38      0.35      0.36        51
       27.0       0.39      0.43      0.41        53
       28.0       0.00      0.00      0.00        26

avg / total       0.32      0.33      0.29      1426




Cross-Validation 5             precision    recall  f1-score   support

        0.0       0.53      0.50      0.51        60
        1.0       0.22      0.21      0.22        47
