
Cross-Validation 1             precision    recall  f1-score   support

        0.0       0.39      0.68      0.49        60
        1.0       0.67      0.04      0.08        47
        2.0       0.33      0.12      0.17        59
        3.0       0.00      0.00      0.00        23
        4.0       0.60      0.07      0.12        46
        5.0       0.32      0.90      0.47        71
        6.0       0.00      0.00      0.00        38
        7.0       0.50      0.58      0.54        36
        8.0       0.00      0.00      0.00        42
        9.0       0.22      0.35      0.27        57
       10.0       0.50      0.02      0.04        50
       11.0       0.00      0.00      0.00        38
       12.0       0.00      0.00      0.00        20
       13.0       0.00      0.00      0.00        41
       14.0       0.55      0.72      0.62        39
       15.0       0.44      0.24      0.31        50
       16.0       0.30      0.74      0.43        72
       17.0       0.18      0.14      0.16        57
       18.0       0.14      0.25      0.18        71
       19.0       0.00      0.00      0.00        33
       20.0       0.18      0.51      0.27        70
       21.0       0.18      0.16      0.17        64
       22.0       0.38      0.57      0.45        65
       23.0       0.23      0.18      0.20        72
       24.0       0.23      0.13      0.17        52
       25.0       1.00      0.13      0.23        23
       26.0       0.48      0.22      0.30        51
       27.0       0.37      0.49      0.42        53
       28.0       0.00      0.00      0.00        26

avg / total       0.29      0.30      0.24      1426




Cross-Validation 2             precision    recall  f1-score   support

        0.0       0.35      0.68      0.46        60
        1.0       0.58      0.15      0.24        47
        2.0       0.54      0.22      0.31        59
        3.0       0.00      0.00      0.00        23
        4.0       0.88      0.15      0.26        46
        5.0       0.33      0.94      0.49        71
        6.0       0.00      0.00      0.00        38
        7.0       0.71      0.67      0.69        36
        8.0       0.00      0.00      0.00        42
        9.0       0.27      0.40      0.33        57
       10.0       0.43      0.06      0.11        50
       11.0       0.00      0.00      0.00        38
       12.0       0.00      0.00      0.00        20
       13.0       0.00      0.00      0.00        41
       14.0       0.57      0.64      0.60        39
       15.0       0.45      0.20      0.28        50
       16.0       0.38      0.81      0.51        72
       17.0       0.20      0.12      0.15        57
       18.0       0.15      0.32      0.20        71
       19.0       0.00      0.00      0.00        33
       20.0       0.23      0.56      0.32        70
       21.0       0.24      0.25      0.25        64
       22.0       0.47      0.52      0.50        65
       23.0       0.28      0.28      0.28        72
       24.0       0.30      0.27      0.29        52
       25.0       1.00      0.13      0.23        23
       26.0       0.42      0.25      0.32        51
       27.0       0.37      0.43      0.40        53
       28.0       0.00      0.00      0.00        26

avg / total       0.32      0.33      0.28      1426




Cross-Validation 3             precision    recall  f1-score   support

        0.0       0.39      0.70      0.50        60
        1.0       0.45      0.11      0.17        47
        2.0       0.33      0.14      0.19        59
        3.0       0.00      0.00      0.00        23
        4.0       0.89      0.17      0.29        46
        5.0       0.33      0.89      0.48        71
        6.0       0.00      0.00      0.00        38
        7.0       0.45      0.47      0.46        36
        8.0       0.00      0.00      0.00        42
        9.0       0.32      0.47      0.38        57
       10.0       0.60      0.06      0.11        50
       11.0       0.00      0.00      0.00        38
       12.0       0.00      0.00      0.00        20
       13.0       0.00      0.00      0.00        41
       14.0       0.56      0.62      0.59        39
       15.0       0.27      0.08      0.12        50
       16.0       0.32      0.74      0.45        72
       17.0       0.14      0.09      0.11        57
       18.0       0.18      0.31      0.23        71
       19.0       0.00      0.00      0.00        33
       20.0       0.21      0.60      0.32        70
       21.0       0.08      0.11      0.09        64
       22.0       0.32      0.46      0.38        65
       23.0       0.25      0.25      0.25        72
       24.0       0.37      0.31      0.34        52
       25.0       1.00      0.09      0.16        23
       26.0       0.31      0.08      0.12        51
       27.0       0.48      0.57      0.52        53
       28.0       0.00      0.00      0.00        26

avg / total       0.29      0.30      0.25      1426




Cross-Validation 4             precision    recall  f1-score   support

        0.0       0.37      0.67      0.47        60
