
Cross-Validation 1             precision    recall  f1-score   support

        0.0       0.46      0.57      0.51        60
        1.0       0.24      0.15      0.18        47
        2.0       0.26      0.24      0.25        59
        3.0       0.50      0.26      0.34        23
        4.0       0.33      0.11      0.16        46
        5.0       0.47      0.77      0.58        71
        6.0       0.11      0.05      0.07        38
        7.0       0.46      0.61      0.52        36
        8.0       0.33      0.10      0.15        42
        9.0       0.29      0.32      0.30        57
       10.0       0.19      0.12      0.15        50
       11.0       0.22      0.05      0.09        38
       12.0       0.75      0.30      0.43        20
       13.0       0.20      0.12      0.15        41
       14.0       0.69      0.85      0.76        39
       15.0       0.54      0.38      0.45        50
       16.0       0.46      0.65      0.54        72
       17.0       0.11      0.14      0.12        57
       18.0       0.16      0.31      0.21        71
       19.0       0.18      0.06      0.09        33
       20.0       0.30      0.44      0.36        70
       21.0       0.14      0.19      0.16        64
       22.0       0.43      0.45      0.44        65
       23.0       0.20      0.29      0.24        72
       24.0       0.29      0.21      0.24        52
       25.0       0.20      0.04      0.07        23
       26.0       0.33      0.27      0.30        51
       27.0       0.58      0.53      0.55        53
       28.0       0.50      0.19      0.28        26

avg / total       0.33      0.33      0.31      1426




Cross-Validation 2             precision    recall  f1-score   support

        0.0       0.47      0.65      0.55        60
        1.0       0.27      0.21      0.24        47
        2.0       0.42      0.34      0.37        59
        3.0       0.20      0.04      0.07        23
        4.0       0.42      0.24      0.31        46
        5.0       0.47      0.86      0.61        71
        6.0       0.15      0.05      0.08        38
        7.0       0.69      0.67      0.68        36
        8.0       0.14      0.05      0.07        42
        9.0       0.31      0.32      0.31        57
       10.0       0.29      0.20      0.24        50
       11.0       0.00      0.00      0.00        38
       12.0       1.00      0.10      0.18        20
       13.0       0.38      0.24      0.30        41
       14.0       0.71      0.74      0.72        39
       15.0       0.30      0.26      0.28        50
       16.0       0.55      0.75      0.63        72
       17.0       0.23      0.25      0.24        57
       18.0       0.14      0.21      0.16        71
       19.0       0.36      0.15      0.21        33
       20.0       0.24      0.40      0.30        70
       21.0       0.15      0.23      0.19        64
       22.0       0.53      0.51      0.52        65
       23.0       0.25      0.29      0.27        72
       24.0       0.28      0.33      0.30        52
       25.0       0.67      0.17      0.28        23
       26.0       0.35      0.31      0.33        51
       27.0       0.50      0.43      0.46        53
       28.0       0.46      0.23      0.31        26

avg / total       0.36      0.35      0.34      1426




Cross-Validation 3             precision    recall  f1-score   support

        0.0       0.47      0.60      0.53        60
        1.0       0.17      0.15      0.16        47
        2.0       0.33      0.27      0.30        59
        3.0       0.38      0.13      0.19        23
        4.0       0.29      0.15      0.20        46
        5.0       0.50      0.80      0.61        71
        6.0       0.38      0.13      0.20        38
        7.0       0.44      0.50      0.47        36
        8.0       0.10      0.05      0.06        42
        9.0       0.36      0.47      0.41        57
       10.0       0.27      0.20      0.23        50
       11.0       0.20      0.05      0.08        38
       12.0       1.00      0.05      0.10        20
       13.0       0.27      0.17      0.21        41
       14.0       0.64      0.69      0.67        39
       15.0       0.39      0.26      0.31        50
       16.0       0.55      0.74      0.63        72
       17.0       0.13      0.14      0.13        57
       18.0       0.19      0.37      0.25        71
       19.0       0.44      0.21      0.29        33
       20.0       0.27      0.37      0.32        70
       21.0       0.09      0.12      0.11        64
       22.0       0.56      0.48      0.52        65
       23.0       0.22      0.28      0.25        72
       24.0       0.32      0.29      0.30        52
