
Cross-Validation 1             precision    recall  f1-score   support

        0.0       0.35      0.28      0.31        60
        1.0       0.11      0.15      0.13        47
        2.0       0.14      0.12      0.13        59
        3.0       0.62      0.22      0.32        23
        4.0       0.17      0.09      0.11        46
        5.0       0.46      0.46      0.46        71
        6.0       0.00      0.00      0.00        38
        7.0       0.67      0.06      0.10        36
        8.0       0.05      0.02      0.03        42
        9.0       0.28      0.28      0.28        57
       10.0       0.15      0.12      0.13        50
       11.0       0.15      0.08      0.10        38
       12.0       0.00      0.00      0.00        20
       13.0       0.13      0.05      0.07        41
       14.0       0.89      0.41      0.56        39
       15.0       0.26      0.18      0.21        50
       16.0       0.27      0.38      0.31        72
       17.0       0.07      0.09      0.08        57
       18.0       0.11      0.28      0.16        71
       19.0       0.00      0.00      0.00        33
       20.0       0.23      0.37      0.29        70
       21.0       0.10      0.20      0.14        64
       22.0       0.19      0.08      0.11        65
       23.0       0.08      0.25      0.13        72
       24.0       0.16      0.13      0.15        52
       25.0       0.00      0.00      0.00        23
       26.0       0.50      0.16      0.24        51
       27.0       0.33      0.26      0.29        53
       28.0       0.40      0.15      0.22        26

avg / total       0.23      0.19      0.19      1426




Cross-Validation 2             precision    recall  f1-score   support

        0.0       0.47      0.30      0.37        60
        1.0       0.15      0.21      0.18        47
        2.0       0.18      0.22      0.20        59
        3.0       0.00      0.00      0.00        23
        4.0       0.16      0.09      0.11        46
        5.0       0.41      0.42      0.41        71
        6.0       0.00      0.00      0.00        38
        7.0       0.67      0.06      0.10        36
        8.0       0.10      0.07      0.08        42
        9.0       0.32      0.32      0.32        57
       10.0       0.06      0.08      0.07        50
       11.0       0.00      0.00      0.00        38
       12.0       0.00      0.00      0.00        20
       13.0       0.21      0.12      0.15        41
       14.0       0.80      0.31      0.44        39
       15.0       0.17      0.10      0.13        50
       16.0       0.31      0.29      0.30        72
       17.0       0.12      0.18      0.15        57
       18.0       0.05      0.10      0.07        71
       19.0       0.00      0.00      0.00        33
       20.0       0.21      0.37      0.27        70
       21.0       0.10      0.19      0.13        64
       22.0       0.50      0.29      0.37        65
       23.0       0.11      0.32      0.16        72
       24.0       0.27      0.25      0.26        52
       25.0       0.00      0.00      0.00        23
       26.0       0.23      0.12      0.16        51
       27.0       0.19      0.15      0.17        53
       28.0       0.36      0.19      0.25        26

avg / total       0.22      0.19      0.19      1426




Cross-Validation 3             precision    recall  f1-score   support

        0.0       0.48      0.37      0.42        60
        1.0       0.10      0.13      0.11        47
        2.0       0.20      0.24      0.22        59
        3.0       0.00      0.00      0.00        23
        4.0       0.08      0.07      0.07        46
        5.0       0.44      0.49      0.46        71
        6.0       0.00      0.00      0.00        38
        7.0       0.00      0.00      0.00        36
        8.0       0.11      0.07      0.09        42
        9.0       0.27      0.16      0.20        57
       10.0       0.09      0.10      0.09        50
       11.0       0.15      0.13      0.14        38
       12.0       0.00      0.00      0.00        20
       13.0       0.19      0.07      0.11        41
       14.0       0.67      0.31      0.42        39
       15.0       0.25      0.14      0.18        50
       16.0       0.42      0.31      0.35        72
       17.0       0.13      0.21      0.16        57
       18.0       0.09      0.18      0.12        71
       19.0       0.00      0.00      0.00        33
       20.0       0.19      0.36      0.25        70
       21.0       0.10      0.22      0.14        64
       22.0       0.32      0.09      0.14        65
       23.0       0.10      0.29      0.15        72
       24.0       0.27      0.27      0.27        52
       25.0       0.00      0.00      0.00        23
       26.0       0.18      0.04      0.06        51
       27.0       0.41      0.36      0.38        53
       28.0       0.19      0.12      0.14        26

avg / total       0.21      0.19      0.19      1426




Cross-Validation 4             precision    recall  f1-score   support

        0.0       0.52      0.27      0.35        60
        1.0       0.14      0.21      0.17        47
        2.0       0.17      0.19      0.18        59
        3.0       0.00      0.00      0.00        23
        4.0       0.04      0.02      0.03        46
        5.0       0.46      0.61      0.52        71
        6.0       0.00      0.00      0.00        38
        7.0       0.67      0.06      0.10        36
        8.0       0.00      0.00      0.00        42
        9.0       0.36      0.28      0.31        57
       10.0       0.13      0.16      0.15        50
       11.0       0.10      0.03      0.04        38
       12.0       0.00      0.00      0.00        20
       13.0       0.10      0.07      0.09        41
       14.0       0.76      0.56      0.65        39
