
Cross-Validation 1             precision    recall  f1-score   support

        0.0       0.43      0.33      0.38        60
        1.0       0.12      0.13      0.12        47
        2.0       0.11      0.10      0.11        59
        3.0       0.50      0.09      0.15        23
        4.0       0.10      0.07      0.08        46
        5.0       0.46      0.52      0.49        71
        6.0       0.20      0.03      0.05        38
        7.0       0.40      0.06      0.10        36
        8.0       0.04      0.02      0.03        42
        9.0       0.28      0.26      0.27        57
       10.0       0.11      0.08      0.09        50
       11.0       0.14      0.05      0.08        38
       12.0       0.00      0.00      0.00        20
       13.0       0.15      0.05      0.07        41
       14.0       0.81      0.44      0.57        39
       15.0       0.25      0.18      0.21        50
       16.0       0.29      0.44      0.35        72
       17.0       0.07      0.11      0.09        57
       18.0       0.09      0.21      0.13        71
       19.0       0.00      0.00      0.00        33
       20.0       0.21      0.37      0.27        70
       21.0       0.11      0.22      0.15        64
       22.0       0.25      0.09      0.13        65
       23.0       0.08      0.21      0.12        72
       24.0       0.20      0.17      0.19        52
       25.0       0.00      0.00      0.00        23
       26.0       0.46      0.22      0.29        51
       27.0       0.35      0.32      0.34        53
       28.0       0.50      0.19      0.28        26

avg / total       0.23      0.20      0.19      1426




Cross-Validation 2             precision    recall  f1-score   support

        0.0       0.48      0.27      0.34        60
        1.0       0.17      0.26      0.20        47
        2.0       0.14      0.19      0.16        59
        3.0       0.00      0.00      0.00        23
        4.0       0.10      0.07      0.08        46
        5.0       0.39      0.41      0.40        71
        6.0       0.25      0.03      0.05        38
        7.0       0.60      0.08      0.15        36
        8.0       0.10      0.07      0.08        42
        9.0       0.35      0.32      0.33        57
       10.0       0.12      0.14      0.13        50
       11.0       0.14      0.03      0.04        38
       12.0       0.00      0.00      0.00        20
       13.0       0.19      0.07      0.11        41
       14.0       0.88      0.38      0.54        39
       15.0       0.18      0.12      0.14        50
       16.0       0.31      0.28      0.29        72
       17.0       0.13      0.21      0.16        57
       18.0       0.05      0.08      0.06        71
       19.0       0.00      0.00      0.00        33
       20.0       0.15      0.29      0.20        70
       21.0       0.09      0.19      0.12        64
       22.0       0.44      0.28      0.34        65
       23.0       0.09      0.26      0.13        72
       24.0       0.24      0.23      0.23        52
       25.0       0.00      0.00      0.00        23
       26.0       0.27      0.12      0.16        51
       27.0       0.29      0.21      0.24        53
       28.0       0.33      0.08      0.12        26

avg / total       0.23      0.19      0.19      1426




Cross-Validation 3             precision    recall  f1-score   support

        0.0       0.50      0.33      0.40        60
        1.0       0.18      0.21      0.19        47
        2.0       0.19      0.22      0.20        59
        3.0       1.00      0.04      0.08        23
        4.0       0.05      0.04      0.05        46
        5.0       0.46      0.55      0.50        71
        6.0       0.00      0.00      0.00        38
        7.0       1.00      0.06      0.11        36
        8.0       0.07      0.05      0.06        42
        9.0       0.27      0.23      0.25        57
       10.0       0.04      0.04      0.04        50
       11.0       0.16      0.13      0.14        38
       12.0       0.00      0.00      0.00        20
       13.0       0.16      0.07      0.10        41
       14.0       0.67      0.31      0.42        39
       15.0       0.24      0.18      0.21        50
       16.0       0.38      0.29      0.33        72
       17.0       0.07      0.12      0.09        57
       18.0       0.08      0.18      0.11        71
       19.0       0.00      0.00      0.00        33
       20.0       0.25      0.41      0.31        70
       21.0       0.06      0.12      0.08        64
