
Cross-Validation 1             precision    recall  f1-score   support

        0.0       0.32      0.27      0.29        60
        1.0       0.17      0.15      0.16        47
        2.0       0.15      0.07      0.09        59
        3.0       0.17      0.04      0.07        23
        4.0       0.04      0.02      0.03        46
        5.0       0.35      0.63      0.45        71
        6.0       0.30      0.08      0.12        38
        7.0       0.14      0.61      0.22        36
        8.0       0.00      0.00      0.00        42
        9.0       0.13      0.42      0.20        57
       10.0       0.17      0.04      0.06        50
       11.0       0.50      0.03      0.05        38
       12.0       0.12      0.05      0.07        20
       13.0       0.14      0.10      0.11        41
       14.0       0.43      0.67      0.52        39
       15.0       0.19      0.28      0.23        50
       16.0       0.21      0.32      0.26        72
       17.0       0.10      0.21      0.14        57
       18.0       0.15      0.15      0.15        71
       19.0       0.17      0.06      0.09        33
       20.0       0.14      0.07      0.10        70
       21.0       0.15      0.03      0.05        64
       22.0       0.19      0.15      0.17        65
       23.0       0.08      0.06      0.07        72
       24.0       0.08      0.04      0.05        52
       25.0       0.00      0.00      0.00        23
       26.0       0.24      0.43      0.31        51
       27.0       0.27      0.06      0.09        53
       28.0       0.14      0.04      0.06        26

avg / total       0.18      0.19      0.16      1426




Cross-Validation 2             precision    recall  f1-score   support

        0.0       0.36      0.27      0.30        60
        1.0       0.10      0.09      0.09        47
        2.0       0.18      0.07      0.10        59
        3.0       0.62      0.22      0.32        23
        4.0       0.04      0.02      0.03        46
        5.0       0.36      0.70      0.47        71
        6.0       0.12      0.05      0.07        38
        7.0       0.20      0.81      0.32        36
        8.0       0.00      0.00      0.00        42
        9.0       0.18      0.51      0.27        57
       10.0       0.00      0.00      0.00        50
       11.0       0.00      0.00      0.00        38
       12.0       0.06      0.05      0.05        20
       13.0       0.32      0.20      0.24        41
       14.0       0.43      0.56      0.49        39
       15.0       0.15      0.24      0.19        50
       16.0       0.23      0.36      0.28        72
       17.0       0.16      0.39      0.22        57
       18.0       0.11      0.13      0.12        71
       19.0       0.00      0.00      0.00        33
       20.0       0.17      0.07      0.10        70
       21.0       0.10      0.02      0.03        64
       22.0       0.34      0.22      0.26        65
       23.0       0.09      0.07      0.08        72
       24.0       0.24      0.15      0.19        52
       25.0       0.50      0.04      0.08        23
       26.0       0.21      0.37      0.27        51
       27.0       0.17      0.04      0.06        53
       28.0       0.25      0.08      0.12        26

avg / total       0.19      0.21      0.17      1426




Cross-Validation 3             precision    recall  f1-score   support

        0.0       0.40      0.28      0.33        60
        1.0       0.19      0.15      0.17        47
        2.0       0.17      0.10      0.13        59
        3.0       0.38      0.13      0.19        23
        4.0       0.14      0.07      0.09        46
        5.0       0.37      0.69      0.49        71
        6.0       0.20      0.03      0.05        38
        7.0       0.16      0.69      0.26        36
        8.0       0.00      0.00      0.00        42
        9.0       0.15      0.47      0.23        57
       10.0       0.08      0.02      0.03        50
       11.0       0.00      0.00      0.00        38
       12.0       0.22      0.10      0.14        20
       13.0       0.14      0.12      0.13        41
       14.0       0.42      0.62      0.50        39
       15.0       0.15      0.22      0.18        50
       16.0       0.22      0.35      0.27        72
       17.0       0.10      0.21      0.14        57
       18.0       0.12      0.13      0.12        71
       19.0       0.44      0.12      0.19        33
       20.0       0.17      0.10      0.13        70
       21.0       0.00      0.00      0.00        64
       22.0       0.24      0.14      0.17        65
       23.0       0.20      0.15      0.17        72
       24.0       0.19      0.08      0.11        52
       25.0       0.17      0.04      0.07        23
       26.0       0.17      0.27      0.21        51
       27.0       0.29      0.13      0.18        53
       28.0       0.10      0.04      0.06        26

avg / total       0.19      0.20      0.17      1426




Cross-Validation 4             precision    recall  f1-score   support

        0.0       0.40      0.30      0.34        60
        1.0       0.15      0.13      0.14        47
        2.0       0.16      0.10      0.12        59
        3.0       0.38      0.13      0.19        23
        4.0       0.06      0.04      0.05        46
        5.0       0.35      0.61      0.45        71
        6.0       0.11      0.03      0.04        38
        7.0       0.12      0.50      0.19        36
        8.0       0.00      0.00      0.00        42
        9.0       0.16      0.51      0.25        57
       10.0       0.00      0.00      0.00        50
       11.0       0.00      0.00      0.00        38
       12.0       0.15      0.10      0.12        20
       13.0       0.14      0.07      0.10        41
       14.0       0.44      0.67      0.53        39
       15.0       0.12      0.20      0.15        50
       16.0       0.25      0.38      0.30        72
       17.0       0.13      0.28      0.17        57
       18.0       0.14      0.14      0.14        71
       19.0       0.50      0.03      0.06        33
       20.0       0.13      0.07      0.09        70
       21.0       0.20      0.05      0.08        64
       22.0       0.21      0.17      0.19        65
       23.0       0.08      0.06      0.07        72
       24.0       0.11      0.06      0.07        52
       25.0       1.00      0.04      0.08        23
       26.0       0.19      0.33      0.24        51
       27.0       0.29      0.09      0.14        53
       28.0       0.10      0.04      0.06        26

avg / total       0.19      0.19      0.16      1426




Cross-Validation 5             precision    recall  f1-score   support

        0.0       0.39      0.33      0.36        60
        1.0       0.10      0.06      0.08        47
        2.0       0.12      0.07      0.09        59
        3.0       0.50      0.17      0.26        23
        4.0       0.07      0.04      0.05        46
        5.0       0.39      0.72      0.50        71
        6.0       0.33      0.08      0.13        38
        7.0       0.15      0.69      0.25        36
        8.0       0.00      0.00      0.00        42
        9.0       0.15      0.49      0.23        57
       10.0       0.12      0.02      0.03        50
       11.0       0.00      0.00      0.00        38
       12.0       0.40      0.20      0.27        20
       13.0       0.16      0.10      0.12        41
       14.0       0.42      0.56      0.48        39
       15.0       0.20      0.32      0.24        50
       16.0       0.23      0.36      0.28        72
       17.0       0.12      0.25      0.16        57
       18.0       0.16      0.20      0.18        71
       19.0       0.12      0.03      0.05        33
       20.0       0.09      0.04      0.06        70
       21.0       0.14      0.03      0.05        64
       22.0       0.14      0.09      0.11        65
       23.0       0.18      0.12      0.15        72
       24.0       0.21      0.10      0.13        52
       25.0       0.50      0.04      0.08        23
       26.0       0.18      0.29      0.22        51
       27.0       0.08      0.02      0.03        53
       28.0       0.38      0.12      0.18        26

avg / total       0.19      0.20      0.17      1426



