
Cross-Validation 1             precision    recall  f1-score   support

        0.0       0.46      0.32      0.38        60
        1.0       0.12      0.06      0.08        47
        2.0       0.33      0.07      0.11        59
        3.0       0.25      0.09      0.13        23
        4.0       0.12      0.04      0.06        46
        5.0       0.61      0.46      0.53        71
        6.0       0.14      0.08      0.10        38
        7.0       0.45      0.39      0.42        36
        8.0       0.11      0.05      0.07        42
        9.0       0.10      0.58      0.17        57
       10.0       0.10      0.10      0.10        50
       11.0       0.10      0.05      0.07        38
       12.0       0.26      0.40      0.31        20
       13.0       0.10      0.10      0.10        41
       14.0       0.87      0.33      0.48        39
       15.0       0.39      0.28      0.33        50
       16.0       0.45      0.32      0.37        72
       17.0       0.09      0.11      0.10        57
       18.0       0.11      0.10      0.10        71
       19.0       0.08      0.06      0.07        33
       20.0       0.18      0.20      0.19        70
       21.0       0.07      0.12      0.09        64
       22.0       0.31      0.25      0.28        65
       23.0       0.15      0.07      0.09        72
       24.0       0.19      0.19      0.19        52
       25.0       0.50      0.09      0.15        23
       26.0       0.26      0.24      0.25        51
       27.0       0.33      0.28      0.30        53
       28.0       0.15      0.23      0.18        26

avg / total       0.25      0.20      0.21      1426




Cross-Validation 2             precision    recall  f1-score   support

        0.0       0.50      0.25      0.33        60
        1.0       0.12      0.11      0.11        47
        2.0       0.32      0.14      0.19        59
        3.0       0.14      0.04      0.07        23
        4.0       0.30      0.13      0.18        46
        5.0       0.61      0.38      0.47        71
        6.0       0.18      0.11      0.13        38
        7.0       0.43      0.44      0.44        36
        8.0       0.12      0.07      0.09        42
        9.0       0.14      0.61      0.23        57
       10.0       0.09      0.08      0.08        50
       11.0       0.12      0.05      0.07        38
       12.0       0.16      0.25      0.20        20
       13.0       0.11      0.12      0.12        41
       14.0       0.87      0.33      0.48        39
       15.0       0.35      0.26      0.30        50
       16.0       0.42      0.25      0.31        72
       17.0       0.15      0.16      0.15        57
       18.0       0.11      0.08      0.10        71
       19.0       0.38      0.27      0.32        33
       20.0       0.14      0.13      0.13        70
       21.0       0.13      0.22      0.16        64
       22.0       0.42      0.38      0.40        65
       23.0       0.00      0.00      0.00        72
       24.0       0.15      0.17      0.16        52
       25.0       0.60      0.13      0.21        23
       26.0       0.29      0.29      0.29        51
       27.0       0.38      0.32      0.35        53
       28.0       0.09      0.42      0.15        26

avg / total       0.27      0.22      0.22      1426




Cross-Validation 3             precision    recall  f1-score   support

        0.0       0.42      0.37      0.39        60
        1.0       0.20      0.11      0.14        47
        2.0       0.35      0.10      0.16        59
        3.0       0.18      0.09      0.12        23
        4.0       0.37      0.22      0.27        46
        5.0       0.49      0.35      0.41        71
        6.0       0.33      0.13      0.19        38
        7.0       0.30      0.28      0.29        36
        8.0       0.04      0.02      0.03        42
        9.0       0.11      0.65      0.19        57
       10.0       0.13      0.10      0.11        50
       11.0       0.09      0.05      0.07        38
       12.0       0.26      0.45      0.33        20
       13.0       0.19      0.24      0.22        41
       14.0       0.81      0.33      0.47        39
       15.0       0.29      0.22      0.25        50
       16.0       0.55      0.39      0.46        72
       17.0       0.08      0.07      0.08        57
       18.0       0.10      0.06      0.07        71
       19.0       0.32      0.21      0.25        33
       20.0       0.10      0.09      0.09        70
       21.0       0.12      0.23      0.16        64
       22.0       0.32      0.35      0.34        65
       23.0       0.19      0.08      0.12        72
       24.0       0.20      0.23      0.22        52
       25.0       0.57      0.17      0.27        23
       26.0       0.24      0.18      0.20        51
       27.0       0.43      0.30      0.36        53
       28.0       0.10      0.15      0.12        26

avg / total       0.27      0.22      0.22      1426




Cross-Validation 4             precision    recall  f1-score   support

        0.0       0.39      0.32      0.35        60
        1.0       0.12      0.09      0.10        47
        2.0       0.48      0.17      0.25        59
        3.0       0.18      0.09      0.12        23
        4.0       0.35      0.17      0.23        46
        5.0       0.54      0.39      0.46        71
        6.0       0.06      0.03      0.04        38
        7.0       0.31      0.28      0.29        36
        8.0       0.13      0.10      0.11        42
        9.0       0.12      0.68      0.21        57
       10.0       0.14      0.10      0.12        50
       11.0       0.06      0.03      0.04        38
       12.0       0.24      0.45      0.32        20
       13.0       0.06      0.07      0.06        41
       14.0       0.84      0.41      0.55        39
       15.0       0.28      0.28      0.28        50
       16.0       0.41      0.28      0.33        72
       17.0       0.17      0.11      0.13        57
       18.0       0.17      0.11      0.13        71
       19.0       0.19      0.09      0.12        33
       20.0       0.15      0.11      0.13        70
       21.0       0.15      0.27      0.19        64
       22.0       0.39      0.31      0.34        65
       23.0       0.12      0.06      0.08        72
       24.0       0.26      0.21      0.23        52
       25.0       0.57      0.17      0.27        23
       26.0       0.27      0.24      0.25        51
       27.0       0.37      0.40      0.38        53
       28.0       0.14      0.38      0.20        26

avg / total       0.27      0.22      0.22      1426




Cross-Validation 5             precision    recall  f1-score   support

        0.0       0.41      0.27      0.32        60
        1.0       0.10      0.06      0.08        47
        2.0       0.18      0.05      0.08        59
        3.0       0.00      0.00      0.00        23
        4.0       0.33      0.11      0.16        46
        5.0       0.53      0.37      0.43        71
        6.0       0.29      0.13      0.18        38
        7.0       0.37      0.36      0.37        36
        8.0       0.24      0.10      0.14        42
        9.0       0.11      0.63      0.19        57
       10.0       0.05      0.04      0.04        50
       11.0       0.24      0.11      0.15        38
       12.0       0.26      0.45      0.33        20
       13.0       0.17      0.17      0.17        41
       14.0       0.74      0.36      0.48        39
       15.0       0.18      0.18      0.18        50
       16.0       0.46      0.35      0.40        72
       17.0       0.06      0.05      0.05        57
       18.0       0.19      0.11      0.14        71
       19.0       0.05      0.03      0.04        33
       20.0       0.11      0.11      0.11        70
       21.0       0.11      0.22      0.15        64
       22.0       0.29      0.26      0.28        65
       23.0       0.15      0.07      0.10        72
       24.0       0.19      0.19      0.19        52
       25.0       0.83      0.22      0.34        23
       26.0       0.17      0.10      0.12        51
       27.0       0.39      0.38      0.38        53
       28.0       0.11      0.35      0.17        26

avg / total       0.25      0.20      0.20      1426



