
Cross-Validation 1             precision    recall  f1-score   support

        0.0       0.39      0.72      0.51        60
        1.0       0.52      0.34      0.41        47
        2.0       0.38      0.31      0.34        59
        3.0       0.00      0.00      0.00        23
        4.0       0.43      0.07      0.11        46
        5.0       0.34      0.93      0.50        71
        6.0       0.50      0.03      0.05        38
        7.0       0.57      0.58      0.58        36
        8.0       0.00      0.00      0.00        42
        9.0       0.21      0.35      0.26        57
       10.0       0.33      0.02      0.04        50
       11.0       0.00      0.00      0.00        38
       12.0       0.00      0.00      0.00        20
       13.0       0.00      0.00      0.00        41
       14.0       0.55      0.72      0.62        39
       15.0       0.50      0.24      0.32        50
       16.0       0.33      0.74      0.45        72
       17.0       0.22      0.12      0.16        57
       18.0       0.12      0.20      0.15        71
       19.0       0.00      0.00      0.00        33
       20.0       0.20      0.56      0.29        70
       21.0       0.23      0.19      0.21        64
       22.0       0.38      0.57      0.45        65
       23.0       0.30      0.24      0.26        72
       24.0       0.31      0.17      0.22        52
       25.0       1.00      0.04      0.08        23
       26.0       0.39      0.18      0.24        51
       27.0       0.47      0.51      0.49        53
       28.0       0.00      0.00      0.00        26

avg / total       0.30      0.32      0.26      1426




Cross-Validation 2             precision    recall  f1-score   support

        0.0       0.39      0.78      0.52        60
        1.0       0.38      0.36      0.37        47
        2.0       0.44      0.39      0.41        59
        3.0       0.00      0.00      0.00        23
        4.0       0.86      0.13      0.23        46
        5.0       0.33      0.94      0.49        71
        6.0       0.00      0.00      0.00        38
        7.0       0.83      0.53      0.64        36
        8.0       0.00      0.00      0.00        42
        9.0       0.29      0.47      0.36        57
       10.0       0.40      0.08      0.13        50
       11.0       0.00      0.00      0.00        38
       12.0       0.00      0.00      0.00        20
       13.0       0.00      0.00      0.00        41
       14.0       0.56      0.56      0.56        39
       15.0       0.68      0.26      0.38        50
       16.0       0.35      0.79      0.49        72
       17.0       0.35      0.12      0.18        57
       18.0       0.13      0.21      0.16        71
       19.0       1.00      0.03      0.06        33
       20.0       0.24      0.61      0.34        70
       21.0       0.24      0.27      0.25        64
       22.0       0.44      0.58      0.50        65
       23.0       0.27      0.18      0.22        72
       24.0       0.46      0.33      0.38        52
       25.0       1.00      0.09      0.16        23
       26.0       0.68      0.29      0.41        51
       27.0       0.44      0.53      0.48        53
       28.0       0.00      0.00      0.00        26

avg / total       0.37      0.35      0.30      1426




Cross-Validation 3             precision    recall  f1-score   support

        0.0       0.47      0.82      0.59        60
        1.0       0.65      0.28      0.39        47
        2.0       0.46      0.27      0.34        59
        3.0       0.00      0.00      0.00        23
        4.0       0.89      0.17      0.29        46
        5.0       0.33      0.89      0.48        71
        6.0       1.00      0.03      0.05        38
        7.0       0.46      0.47      0.47        36
        8.0       1.00      0.02      0.05        42
        9.0       0.37      0.49      0.42        57
       10.0       0.43      0.06      0.11        50
       11.0       0.00      0.00      0.00        38
       12.0       0.00      0.00      0.00        20
       13.0       0.00      0.00      0.00        41
       14.0       0.65      0.62      0.63        39
       15.0       0.38      0.10      0.16        50
       16.0       0.30      0.74      0.43        72
       17.0       0.08      0.04      0.05        57
       18.0       0.13      0.23      0.16        71
       19.0       0.00      0.00      0.00        33
       20.0       0.22      0.60      0.32        70
       21.0       0.11      0.16      0.13        64
       22.0       0.30      0.46      0.37        65
       23.0       0.23      0.24      0.23        72
       24.0       0.56      0.38      0.45        52
       25.0       1.00      0.09      0.16        23
       26.0       0.44      0.16      0.23        51
       27.0       0.49      0.53      0.51        53
       28.0       1.00      0.04      0.07        26

avg / total       0.39      0.32      0.27      1426




Cross-Validation 4             precision    recall  f1-score   support

        0.0       0.39      0.73      0.51        60
        1.0       0.59      0.28      0.38        47
        2.0       0.52      0.27      0.36        59
        3.0       0.00      0.00      0.00        23
        4.0       0.80      0.17      0.29        46
        5.0       0.29      0.93      0.44        71
        6.0       0.00      0.00      0.00        38
        7.0       0.47      0.44      0.46        36
        8.0       0.00      0.00      0.00        42
        9.0       0.27      0.46      0.34        57
       10.0       0.33      0.04      0.07        50
       11.0       0.00      0.00      0.00        38
       12.0       0.00      0.00      0.00        20
       13.0       0.00      0.00      0.00        41
       14.0       0.58      0.72      0.64        39
       15.0       0.39      0.18      0.25        50
       16.0       0.31      0.75      0.44        72
       17.0       0.35      0.12      0.18        57
       18.0       0.19      0.32      0.24        71
       19.0       0.00      0.00      0.00        33
       20.0       0.22      0.53      0.31        70
       21.0       0.17      0.20      0.19        64
       22.0       0.38      0.48      0.42        65
       23.0       0.28      0.18      0.22        72
       24.0       0.45      0.29      0.35        52
       25.0       1.00      0.22      0.36        23
       26.0       0.47      0.16      0.24        51
       27.0       0.35      0.45      0.39        53
       28.0       0.00      0.00      0.00        26

avg / total       0.31      0.32      0.27      1426




Cross-Validation 5             precision    recall  f1-score   support

        0.0       0.35      0.77      0.48        60
        1.0       0.32      0.13      0.18        47
        2.0       0.44      0.29      0.35        59
        3.0       0.00      0.00      0.00        23
        4.0       0.78      0.15      0.25        46
        5.0       0.30      0.89      0.45        71
        6.0       0.00      0.00      0.00        38
        7.0       0.55      0.44      0.49        36
        8.0       0.00      0.00      0.00        42
        9.0       0.33      0.51      0.40        57
       10.0       0.80      0.08      0.15        50
       11.0       0.00      0.00      0.00        38
       12.0       0.00      0.00      0.00        20
       13.0       0.00      0.00      0.00        41
       14.0       0.51      0.62      0.56        39
       15.0       0.40      0.16      0.23        50
       16.0       0.30      0.68      0.42        72
       17.0       0.32      0.14      0.20        57
       18.0       0.13      0.25      0.17        71
       19.0       0.00      0.00      0.00        33
       20.0       0.18      0.53      0.27        70
       21.0       0.24      0.20      0.22        64
       22.0       0.36      0.42      0.39        65
       23.0       0.25      0.24      0.24        72
       24.0       0.57      0.33      0.41        52
       25.0       1.00      0.09      0.16        23
       26.0       0.45      0.10      0.16        51
       27.0       0.39      0.45      0.42        53
       28.0       0.00      0.00      0.00        26

avg / total       0.32      0.31      0.26      1426



